Original Text,Translated Text,x,y,w,h
．．．,The...,290,963,11,14
．．．,The...,574,824,14,42
剣術を始めたら剣王になったニャ！,"When I started swordsmanship, I became a sword king!",114,695,42,173
レーヌ叔母ちゃん」,"Auntie Rene.""",567,615,21,201
だ,だ,570,587,20,23
叔母ちゃんはなにをやらせてもうまくできない乱暴者だったけど,Auntie was a violent person who couldn't get anything right.,118,499,90,155
でもひとつだけ例があるニャ！,But there is one example!,138,271,39,121
．．．,The...,358,265,6,18
メメ,baa (goat sound),625,115,10,37
．．,The ...,597,113,8,10
あ,あ,343,112,14,18
族長に相応しくなるよう大学に送りこまれたんだろうな．．．,I guess they sent him to college to be worthy of a chief ... .,422,97,61,187
．．．こいつらは獣神の未裔のクセにアホすぎるから,... ... These guys are too stupid to be descendants of the beast god.,504,85,56,139
一般転生公異世界行ったら本気だす,"I'll get serious if I go to another world, general reincarnation lord.",72,22,171,36
