Original Text,Translated Text,x,y,w,h
．．．,The...,268,1505,107,95
．．．,The...,351,1121,25,43
グルシー,"stuffed food (e.g. eggs, tomatoes)",923,1051,45,169
．．．,The...,942,881,42,41
あ,あ,348,864,19,25
うーーっ,whoosh,969,801,58,97
引きこもる理由,Reasons to stay indoors,703,726,29,173
引きごもったままではいけない理由,Why you shouldn't stay shut-in,443,725,60,250
ギャー,ouch!,985,720,34,73
俺はよく知っているつもりだが,I think I know better.,137,716,86,128
っ,っ,403,639,34,23
や！？,Ya!,75,569,33,72
！？,!,403,559,61,58
そうニャ,That's right.,156,471,21,96
そう．．．,So ...,127,470,17,98
いい,sufficient (can be used to turn down an offer),449,437,55,44
でないとリニアみたいにアホになるの,"Otherwise, they'll be stupid like Linear.",127,226,84,171
そんな．．．ルディのせいじゃないよ．．．,Oh no ... It's not Rudy's fault ...,938,185,56,198
無理矢理にでも授業受けさせるの,They force me to take classes.,241,167,54,198
そうこゃそうニャ,"Right me, right me, right me",553,156,53,96
．．．職転生・異世界行ったら本気だす,.... I'll get serious when I go to a different world.,123,35,265,56
